A	a
schuldlos	guiltlessly
Guinea	guinea
Gestalt	guise
Gitarre	guitar
Gitarrist	guitarist
Möwe	seagull
Leichtgläubigkeit	gullibility
schluckend	gulping
Gummi	gum
Gundrup	gumdrop
gummiert	gummed
Gummiartig	gumminess
Gummierung	gumming
gummiartig	rubbery
Grips	gumption
Gummischuh	gumshoe
Pistole	pistol
Kanonenboot	gunboat
Schießerei	shootout
Revolverheld	gunslinger
Schüsse	gunfire
Waffenschloss	gunlock
Schütze	shooter
Rotguss	gunmetal
Kanonier	gunner
mit vorgehaltener Waffe	gunpoint
Schießpulver	gunpowder
Schuss	gunshot
Büchsenmacher	gunsmith
Guppy	guppy
gurgelnd	gurgling
Trage	gurney
Lehrer	teacher
Schwall	gushiness
Böe	gust
böig	gusty
gut	gut
Rinne	gutter
fressen	guzzle
Fresser	guzzler
Fitnessstudio	gym
gymnasium	gymnasium
Turner	gymnast
Gymnastik-	gymnastic
Gymnastik	gymnastics
gynäkologisch	gynecological
Gynäkologe	gynecologist
Gynäkologie	gynecology
Zigeuner	gypsy
Drehung	rotation
Gyrator	gyrator
Kreisel	roundabout
Gyroskop	gyroscope
habilitation	habilitation
Gewohnheit	wont
Bewohnbarkeit	inhabitancy
bewohnbar	inhabitable
Einwohner	habitant
Lebensraum	habitat
Wohnen	habitation
gewohnheitsmäßig	habitually
Gewöhnung	habituation
Hazienda	hacienda
Hacker	hacker
Säge	hacksaw
hatte	had
Hexe	witch
Verhärtung	haggardness
feilschen	haggle
Feilscher	haggler
Haiku	haiku
Hagel	hail
Hagelkorn	hailstone
Haar	hair
Haarball	hairball
Haarbürste	hairbrush
Haarschnitt	haircut
Haarschneider	haircutter
Haare schneiden	haircutting
Frisur	hairstyle
Friseur	hairstylist
Fön	hairdryer
behaart	hairy
Haarigkeit	hairiness
unbehaart	hairless
Haarlosigkeit	hairlessness
Haaransatz	hairline
Haarnetz	hairnet
Haarteil	hairpiece
Haarnadel	hairpin
Haarspalter	hairsplitter
Haarspalterei	hairsplitting
Haarspray	hairspray
Hälfte	halve
Läufer	strider
halb gespannt	halfcocked
halbherzig	halfheartedly
Halbzeit	halftime
Halbton	halftone
Halbe Strecke	halftrack
Mundgeruch	halitosis
Saal	hall
Halleluja	hallelujah
Kennzeichen	hallmark
punziert	hallmarked
heiligen	sanctify
Halloween	halloween
halluzinieren	hallucinate
Halluzination	hallucination
halluzinatorisch	hallucinatory
Halluzinogen	hallucinogen
halluzinogen	hallucinogenic
Flur	hallway
Heiligenschein	halo
Halogen	halogen
halt	halt
anhaltend	persisting
Zögerlichkeit	haltingness
Hälften	halves
zu	unto
hamburger	hamburger
Weiler	hamlet
Hämmer	hammerer
Hammerkopf	hammerhead
Hämmern	hammering
Hängematte	hammock
Hammy	hammy
Hamster	hamster
Hand	hand
Handtasche	handbag
handball	handball
Schubkarre	wheelbarrow
Handbuch	manual
Handbremse	handbrake
Handwagen	handcart
Händeklatschen	handclap
Handklammer	handclasp
handgemacht	handcrafted
Handschelle	handcuff
übergeben	handed
Händigkeit	handedness
Hand voll	handful
handverzweigt	handgrenade
Handgriff	handgrip
Handheld	handheld
Haltegriff	handhold
behindert	hinderer
handlich	wieldy
Handlichkeit	handiness
handhaben	handle
Lenker	steerer
abgewickelt	unreeled
Handler	handler
handlos	handless
Handhabung	handling
handgefertigt	handmade
Magd	handmaiden
weiterleiten	handoff
Handzettel	handout
aushändigen	handover
handgemalt	handpainted
handverlesen	handpick
Handabdruck	handprint
Mobilteil	handset
Hände frei	handsfree
Händedruck	handshake
Händeschütteln	handshaking
gutaussehend	handsome
stattlich	handsomely
Handsprung	handspring
Handwäsche	handwash
Handarbeit	needlework
handgewebt	handwoven
handschriftlich	handwritten
Handschrift	handwriting
praktisch	practically
Heimwerker	handyman
aufhängen	hang
Drachenflieger	hangglider
Niednagel	hangnail
Kater	tomcat
Nimm es	hangup
Sehnsucht	yearning
Taschentuch	hanky
planlos	haphazardly
Zufälligkeit	randomness
passieren	pass
glücklicher	happier
am glücklichsten	happiest
Glück	luck
Belästiger	harasser
belästigend	harassingly
Belästigung	nuisance
Hafenmeister	harbormaster
harter Ball	hardball
hart gekocht	hardboiled
Hardcopy	hardcopy
Hardcore	hardcore
Hardcover	hardcover
Festplatte	harddisk
härten	harden
gehärtet	hardened
Härter	hardener
Härten	hardening
Schwerer	harder
Helm	helmet
Hartkopf	hardhead
Hartnäckigkeit	tenaciousness
hartherzig	hardheartedly
Hartherzigkeit	hardheartedness
Widerstandsfähigkeit	resilience
harte Linie	hardline
Härte	harshness
Hardtop	hardtop
Hardware	hardware
fest verdrahtet	hardwired
Hartholz	hardwood
hart arbeiten	hardworking
winterhart	hardy
Hasenhirn	harebrain
Harem	harem
Er	he
Harlekin	harlequin
Hure	whore
Hurerei	whorishness
Schädlichkeit	noxiousness
harmlos	unoffending
Harmlosigkeit	harmlessness
harmonisch	harmonistically
Mundharmonika	harmonica
Harmonische	harmonics
Harmonie	harmony
Harmonist	harmonist
Harmonisierung	harmonization
harmonisieren	harmonize
Harfe	harp
Harfenist	harpist
Harpune	harpoon
Harpunier	harpooner
Cembalo	harpsichord
Cembalist	harpsichordist
erschütternd	shatteringly
harsch	harsh
Mähdrescher	harvester
erntelos	harvestless
Erntemann	harvestman
Hash	hash
Haschisch	hashish
Eile	hustle
eilen	hasten
hastig	hasty
Hastigkeit	hurriedness
hat	hat
Htband	hatband
Hutschachtel	hatbox
Luke	hatchway
Fließheck	hatchback
Brüterei	hatchery
Beil	hatchet
Schraffur	hatching
hassen	hate
hasserfüllt	hatefully
Hass	hatred
Hasser	hater
ohne Hut	hatless
hochmütig	highhandedly
Hochmut	haughtiness
schleppen	lug
Keule	haunch
verfolgen	trace
Spuker	haunter
eindringlich	insistently
haben	have
Oase	oasis
Heifld	hayfield
Es wird einen Unterschied machen	hayfork
Heuboden	hayloft
Heumacher	haymaker
Gehört	hayride
Heuhaufen	haystack
drunter und drüber	haywire
ungefährlich	nonhazardous
Dunst	haze
Hasel	hazel
Haselnuss	hazelnut
schikanierend	hazing
Gefahrgut	hazmat
dunstig	hazy
Kopf	hoof
Kopfschmerzen	headachy
Stirnband	headband
Kopfteil	headboard
Mitarbeiterzahl	headcount
Kopfschmuck	headdress
Header	header
kopfüber	headlong
Kopfbedeckung	headwear
Headhunter	headhunter
Überschrift	headline
kopflos	headless
Headliner	headliner
Schwitzkasten	sweatbox
Schulleiter	headmaster
Schulleiteramt	headmastership
Schulleiterin	schoolmistress
Hauptquartier	headquarters
Kopfstütze	headrest
Kopffreiheit	headroom
Headset	headset
Kopfschütteln	headshake
Kopfschuss	headshot
Seelenarzt	headshrinker
Kopfraum	headspace
Kopfstand	headstand
eigensinnig	waywardly
Eigensinn	willfulness
Rektor	principal
Oberkellner	headwaiter
vorankommen	headway
Gegenwind	headwind
Chefarbeiter	headworker
heilen	mend
Heiler	healer
Gesundheit	healthiness
Gesundheitspflege	healthcare
gesund	wholesome
Haufen	huddle
hören	hear
Hören	listening
Hörensagen	hearsay
Leichenwagen	hearse
Herzenskummer	heartache
Herzschlag	heartbeat
Herzschmerz	heartsickness
Herzensbrecher	heartbreaker
herzzerreißend	heartbreakingly
Herz gebrochen	heartbroken
mit gebrochenem Herzen	heartbrokenly
Sodbrennen	heartburning
Feuerstelle	hearth
Herdseite	hearthside
Herdstein	hearthstone
Kernland	heartland
herzlos	heartlessly
Herzlosigkeit	heartlessness
Herzen	hearts
herzkrank	heartsick
Frauenschwarm	heartthrob
herzerwärmend	heartwarming
Herzwurm	heartworm
herzhaft	hearty
Hitze	heat
hitzig	heatedly
Heizung	heating
Heiden-	heathen
Heidentum	paganism
Heidekraut	heather
hitzefrei	heatless
hitzebeständig	heatproof
Hitzschlag	heatstroke
Hitzewelle	heatwave
heben	heave
Himmel	sky
paradiesisch	heavenly
zum Himmel	heavenwards
schwer	severe
schweren Herzens	heavyhearted
Schwermut	heavyheartedness
Schwergewicht	heavyweight
Zwischenruf	interjectory
Heckler	heckler
Hecke	hedge
Igel	hedgehog
Absicherung	hedging
hedgy	hedgy
hedonistisch	hedonistic
beachten	notice
achtsam	mindfully
Achtsamkeit	mindfulness
rücksichtslos	ruthlessly
Achtlosigkeit	heedlessness
iahen	heehaw
ohne Absatz	heelless
heft	heft
Färse	heifer
Erhöhung	heightener
Erbe	inheritor
Erbin	heiress
erbenlos	heirless
Erbstück	heirloom
Raubüberfall	heist
Hubschrauber	helicopter
heliozentrisch	heliocentric
Hubschrauberlandeplatz	heliport
Helium	helium
Hölle	hellishness
höllisch	infernal
Höllenfeuer	hellfire
Höllenloch	hellhole
Höllenhund	hellhound
Hallo	howdy
helmlos	helmless
Steuermann	steersman
Beratungsstelle	helpdesk
hilfreich	helpingly
Hilfsbereitschaft	helpfulness
Portion	serving
Hilflosigkeit	helplessness
Hotline	hotline
Hämatom	hematoma
Hemisphäre	hemisphere
halbkugelförmig	semispherical
Saum	hemline
Schierling	hemlock
Hämoglobin	hemoglobin
Hämophilie	hemophilia
hämophil	hemophilic
Hämorrhoiden	hemorrhoid
Hanf	hemp
Hanfsamen	hempseed
Hohlsaum	hemstitch
Henne	hen
somit	hence
fortan	henceforth
Hühnerstall	henhouse
Henna	henna
Hepatitis	hepatitis
Heptagon	heptagon
ihr	hirer
Herold	herald
Kraut	herb
Kräuter-	herbal
Kräuterkundiger	herbalist
herbizid	herbicidal
Herbizid	herbicide
Pflanzenfresser	herbivore
pflanzenfressend	herbivorous
Kräuter	herbs
Herkules	herculean
Hirte	herder
hüten	herding
Hirt	herdsman
Hirtin	herdswoman
Hier	here
Jenseits	hereafter
Erblichkeit	hereditarianism
erblich	hereditary
Vererbung	heredity
hierin	herein
im Folgenden	thereinafter
Ketzer	heretic
ketzerisch	heretically
hierauf	hereupon
Zwitter	hermaphrodite
Einsiedler	recluse
Hernie	herniated
Held	hero
heroisch	heroic
heldenhaft	heroically
Heldentaten	heroics
Heroin	heroin
Heldin	heroine
Heldentum	heroism
Reiher	heron
Herpes	herpes
Hering	herring
Fischgrätenmuster	herringbone
ihres	hers
Sie selber	herself
Hertz	hertz
Zögern	hesitation
zögerlich	straggling
zögernd	hesitative
zögern	procrastinating
Hetero	hetero
heterogen	heterogenic
heterosexuell	heterosexual
verhexen	jinx
hexadezimal	hexadecimal
Hexagon	hexagon
sechseckig	hexagonal
Hexagramm	hexagram
Hey	hey
Blütezeit	heyday
Hi	hi
überwintern	hibernate
Winterschlaf	hibernator
Hibiskus	hibiscus
Schluckauf	hiccup
hick	hick
Knutschfleck	hickey
Hickory	hickory
verstecken	hide
Versteck	hideout
hierarchisch	hierarchically
Hierarchie	hierarchy
hieroglyphisch	hieroglyphic
Hieroglyphen	hieroglyphics
hoch	up
Flugball	highball
hochblütig	highbred
hochkarätig	highbrow
Hochstuhl	highchair
höher	higher
höchste	supreme
hochtrabend	highfaluting
Überflieger	overachiever
hochfliegend	soaring
eigenmächtig	highhanded
hohe Händigkeit	highhandedness
Highjack	highjack
Hochland	highland
Hochländer	highlander
Highlife	highlife
Markieren	highlight
Textmarker	highlighter
höchst	highly
Hoheit	highness
weiterführende Schule	highschool
Hightail	hightail
Wegelagerer	highwayman
Wanderung	trek
Wanderer	roamer
urkomisch	hilariously
Komik	hilariousness
Heiterkeit	mirth
hügel	hill
Hügelichkeit	hilliness
Hang	hillside
Hügel	mound
hügelig	hilly
ihn	him
sich selbst	himself
hinten	hind
behindern	obstruct
Hindernis	obstructer
Hindu	hindu
Scharnier	hinge
Hüftknochen	hipbone
Hipness	hipness
Hippie	hippy
Nilpferd	hippopotamus
Hipshot	hipshot
Hipster	hipster
mieten	rent
gemietet	rented
sein	his
zischend	whizzing
Historiker	historian
historisch	historically
Geschichtsschreiber	historiographer
Geschichte	tale
Anhängerkupplung	hitch
trampen	hitchhike
Tramper	hitchhiker
hierher	hither
ohne Treffer	hitless
Killer	hitman
Schlagmann	hitter
Nesselsucht	hives
Hoagie	hoagie
horten	hoard
Hamsterer	hoarder
Horten	hoarding
Werbetafeln	hoardings
heiser	husky
Heiserkeit	huskiness
Falschmeldung	hoax
Hobbit	hobbit
humpeln	hobble
humpelnd	hobbling
Hobby	hobby
hobbyhorse	hobbyhorse
Bastler	tinkerer
Landstreicher	hobo
Sprunggelenk	hock
Eishockey	hockey
Mischmasch	hodgepodge
Hoedown	hoedown
Schwein	pig
besessen	propertied
hässlich	ugly
Hogtie	hogtie
hissen	hoist
Heben	lifting
hokey	hokey
Halter	retainer
Überfall	raid
Loch	hole
löchrig	holey
Urlaub	vacation
Urlaub machen	holidaymaking
Feiertage	holidays
Heiligkeit	sanctity
ganzheitlich	integrally
Hollandaise	hollandaise
brüllen	bellowing
hohl	hollow
dumpf	hollowly
Hohlheit	hollowness
Stechpalme	holly
Holocaust	holocaust
Hologramm	holograph
holografisch	holographic
Halfter	holster
geholstert	holstered
heilig	saintly
heiliger Tag	holyday
Mann	man
Männer	men
heim	home
Stubenhocker	homebody
heimatgebunden	homebound
Homeboy	homeboy
selbstgezüchtet	homebred
selbstgebraut	homebrew
Hausbau	homebuilding
Hauskäufer	homebuyer
Heimpflege	homecare
Heimkehr	homecoming
hausgemacht	homegrown
Heimat	homeland
obdachlos	houseless
Obdachlosigkeit	homelessness
heimelig	homely
Wohnlichkeit	livableness
Hausfrau	housewifery
Hauswirtschaft	housekeeping
Homöopath	homoeopathist
homöopathisch	homoeopathic
Homöostase	homeostasis
homöostatisch	homeostatic
Hausbesitzer	homeowner
homepage	homepage
Klassenraum	homeroom
Heimweh	homesickness
selbstgesponnen	homespun
Heimstätte	homestead
Heimbewohner	homesteader
Zielgeraden	homestretch
Heimatort	hometown
heimwärts	homeward
Hausaufgaben	homework
Heimarbeiter	homeworker
mörderisch	murderousness
Tötung	killing
Referenzfahrt	homing
Homoerotismus	homoerotism
homogen	homogenous
Homogenisierung	homogenization
homogenisieren	homogenize
Homonym	homonym
Homophobie	homophobia
homophobisch	homophobic
homophon	homophonic
homosexuell	homosexual
Homosexualität	homosexuality
schärfen	sharpen
Ehrlich	honestly
Ehrlichkeit	honesty
Honig	honey
Honigbiene	honeybee
Bienenwabe	honeycomb
Honigtau	honeydew
Flitterwochen	honeymoon
Honigtopf	honeypot
Geißblatt	honeysuckle
honigsüß	honeysweet
hupen	honk
Ehrenhaftigkeit	honorableness
ehrenhaft	honorable
ehrenvoll	honorably
ehrenamtlich	unsalaried
Fusel	hooch
Haube	hood
mit Kapuze	hooded
Kapuzenpullover	hoody
ohne Kapuze	hoodless
Ganove	hoodlum
gehuft	hoofed
Hauptmarkt	hoofmark
Hufe	hoofs
Haken	snag
Huka	hookah
Nutte	hooker
Nutten	hookers
Hakennase	hooknose
anschließen	hookup
Hakenwurm	hookworm
Rowdy	rowdy
Rowdytum	rowdiness
hoffnungsvoll	hopeful
Reifenrock	hoopskirt
Hurra	yippee
johlen	hoot
Hupe	hooter
Staubsauger	vacuumcleaner
Hop	hop
Hoffnung	hope
gehofft	hoped
hoffentlich	hopingly
hoffnungslos	unhopefully
Hoffnungslosigkeit	hopelessness
hüpfte	hopped
hopfenreich	hoppy
Himmel und Hölle	hopscotch
Horde	horde
Horizont	skyline
horizontal	horizontally
Horizontalität	horizontalness
hormonell	hormonal
Hormon	hormone
Nashornvogel	hornbill
gehörnt	horned
Hornisse	hornet
Geilheit	horniness
hornlos	hornless
hornartig	hornlike
Hornpfeife	hornpipe
geil	randy
Horoskop	horoscope
horrend	horrendously
entsetzen	horrify
Grusel	horror
Pferd	horse
zu Pferd	horseback
Pferdehaar	horsehair
Pferdeleder	horsehide
pferdelos	horseless
Pferdefleisch	horsemeat
Pferdespiel	horseplay
Pferdestärken	horsepower
Pferderennen	horserace
Meerrettich	horseradish
Hufeisen	horseshoe
Schachtelhalm	horsetail
Kuhhandel	horsetrading
Ackerkraut	horseweed
Reitpeitsche	horsewhip
Reiterin	horsewoman
Pferdchen	horsey
Pferdesport	horsing
Gartenbau	horticulture
Gartenbauer	horticulturalist
Schlauch	hose
abgespritzt	hosed
Strumpfwaren	hosiery
Hospiz	hospice
gastfreundlich	hospitably
Gastfreundschaft	hospitality
Krankenhaus	hospital
Krankenhausaufenthalt	hospitalization
hospitalisieren	hospitalize
Gastgeber	host
Geisel	hostage
Herberge	hostel
Hostess	hostess
feindselig	hostilely
Hosting	hosting
heiß	torrid
Brutstätte	hotbed
heiße Box	hotbox
heißer Kuchen	hotcake
Hotdog	hotdog
Hotel	hotel
Hausmeister in einem Hotel	hotelkeeper
Hitzkopf	hotheadedness
hitzköpfig	hotheadedly
Treibhaus	hothouse
Schärfe	shrillness
heiße Platte	hotplate
Hotspot	hotspot
heisser	hotter
hetzen	hound
Hetze	hounding
Stunde	hour
Sanduhr	hourglass
stündlich	hourly
Haus	house
Hausboot	houseboat
hausgebunden	housebound
Boy	houseboy
stubenrein	housebroken
Putzkraft	housecleaner
Hausputz	housecleaning
Hausmantel	housecoat
Schürzenkleid	housedress
Stubenfliege	housefly
Hausgast	houseguest
Haushalt	household
Haushälterin	housekeeper
Hausmädchen	housemaid
Hausmann	houseman
Mitbewohner	roommate
hausmaler	housepainter
Zimmerpflanze	houseplant
Hausraum	houseroom
Haussitter	housesit
Dach	rooftop
Hausdächer	housetops
Einweihungsparty	housewarming
Hausarbeit	housework
Luftkissenfahrzeug	hovercraft
schwebt	hoverer
heulen	howl
Heuler	howler
Heulen	howling
Nabe	hub
Trubel	hubbub
mein Mann	hubby
Radkappe	hubcap
Heidelbeere	huckleberry
zusammengedrängt	huddling
Farbton	tint
gefärbt	hued
schnauf	huff
Verärgertheit	huffiness
Umarmung	hug
gewaltig	hulking
huh	huh
Hula	hula
Hulk	hulk
Menschlichkeit	humanness
Humanismus	humanism
Humanist	humanist
humanistisch	humanistic
humanitär	humanitarian
Humanität	humanitarianism
Geisteswissenschaften	humanities
Menschheit	mankind
Humanisierung	humanization
vermenschlichen	humanize
Humanisierer	humanizer
humanisierend	humanizing
menschenähnlich	humanlike
Humanoid	humanoid
bescheiden	modestly
Demut	humility
bescheidener	humbler
demütigend	mortifying
demütig	humbly
Humbug	humbuggery
Humdinger	humdinger
Humerus	humerus
Befeuchtung	humidification
Luftbefeuchter	humidifier
befeuchten	moisturize
Luftfeuchtigkeit	humidness
demütigen	humiliate
Erniedrigung	humiliation
Hummer	lobster
Kolibri	hummingbird
Hummus	hummus
Humor	humor
Humorist	humorist
humorlos	humorless
Humorlosigkeit	humorlessness
humorvoll	humorously
Buckel	humpback
bucklig	hunchbacked
Humvee	humvee
Bucklige	hunchback
hundert	hundred
hundertfach	hundredfold
Hundertstel	hundredth
aufgehängt	hung
Hunger	starvation
hungriness	hungriness
hungrig	hungry
Stück	piece
Hunker	hunker
Kerle	hunks
Hunky	hunky
Jagd	hunting
Jäger	slayer
Jägerin	huntress
Jagdreiterin	huntswoman
Hürde	hurdle
Hürdenläufer	hurdler
Schleuderer	hurler
Hurrikan	hurricane
beeilte sich	hurried
eilig	rushing
beeil dich	hurry
verletzt	hurt
verletzend	woundingly
tut weh	hurting
rasen	hurtle
Ehemann	husband
ohne Ehemann	husbandless
Stille	stillness
verstummte	hushed
Schweigen	silence
erinnern	reminisce
geschält	shelled
Flittchen	hussy
Stricher	hustler
Stall	sty
Hybrid	hybrid
Hybridisierung	hybridization
Hydra	hydra
Hydrant	hydrant
Hydrat	hydrate
hydratisiert	hydrated
Flüssigkeitszufuhr	hydration
hydraulisch	hydraulic
Hydraulik	hydraulics
Wasserkraft	hydropower
Kohlenwasserstoff	hydrocarbon
Hydrochemie	hydrochemistry
Hydrochlorid	hydrochloride
Hydrocortison	hydrocortisone
Wasserstoff	hydrogen
hydrieren	hydrogenate
hydriert	hydrogenated
wasserstoffhaltig	hydrogenous
Hydrolyse	hydrolysis
Hydrometer	hydrometer
Hydrophobie	hydrophobia
hydrophob	hydrophobic
Wasserflugzeug	seaplane
hydroponisch	hydroponic
hydroskopisch	hydroscopic
Hydrosulfid	hydrosulfide
hydrotherapeutisch	hydrotherapeutic
Hydrothermal	hydrothermal
Hydroxid	hydroxide
Hyäne	hyena
Hygiene	hygiene
hygienisch	hygienically
Hygieniker	hygienist
Hymen	hymen
Gesangbuch	hymnbook
Hype	hype
Hyperazidität	hyperacidity
hyperaktiv	hyperactive
Hyperaktivität	hyperactivity
Hyperbel	hyperbole
hyperbolisch	hyperbolically
hyperbolisieren	hyperbolize
hyperkompetitiv	hypercompetitive
Hyperbewusstsein	hyperconsciousness
überkritisch	supercritical
Hyperkritik	hypercriticism
überdehnen	overstretch
Hyperextension	hyperextension
Hyperglykämie	hyperglycemia
hyperglykämisch	hyperglycemic
Hyperinflation	hyperinflation
hyperinflationär	hyperinflationary
Überreizbarkeit	hyperirritability
hyperreizbar	hyperirritable
hyperkinetisch	hyperkinetic
Hyperlink	hyperlink
überempfindlich	supersensitive
Überempfindlichkeit	hypersensitivity
hypersexuell	hypersexual
Hyperschall	hypersonic
Hyperraum	hyperspace
hypertensiv	hypertensive
Hypertext	hypertext
Hyperthermie	hyperthermia
Hyperthyreose	hyperthyroidism
hyperventilieren	hyperventilate
Hyperventilation	hyperventilation
Silbentrennung	hyphenation
Hypnose	hypnotization
Hypnotherapeut	hypnotherapist
Hypnotherapie	hypnotherapy
hypnotisch	hypnotically
Hypnotismus	hypnotism
Hypnotiseur	hypnotizer
hypnotisierbar	hypnotizable
hypnotisieren	mesmerize
hypo	hypo
hypoallergen	hypoallergenic
Hypochondrie	hypochondria
Hypochonder	hypochondriac
Heuchelei	hypocrisy
Heuchler	hypocrite
heuchlerisch	hypocritically
subkutan	subcutaneously
Hypoglykämie	hypoglycemia
hypoglykämisch	hypoglycemic
Hypotenuse	hypotenuse
unterkühlt	overcool
Unterkühlung	hypothermia
Hypothesen	hypotheses
Hypothese	hypothesize
hypothetisch	hypothetically
Hypothyreose	hypothyroidism
Hysterie	hysterics
hys teri c	hysteric
hysterisch	hysterically
ich	i
Ibuprofen	ibuprofen
Eisberg	iceberg
Segelschlitten	iceboat
eisgebunden	icebound
Eisfach	icebox
Eisbrecher	icebreaker
Eiskappe	icecap
Eiscreme	icecream
vereist	iced
eisfrei	iceless
Eismaschine	icemaker
Mann aus dem Eis	iceman
Eisbeutel	icepack
Eispickel	icepick
Eislaufen	iceskate
Eiseskälte	iciness
eklig	yucky
Symbol	symbol
ikonisch	iconic
Ikonograph	iconographer
ikonografisch	iconographical
Ikonologie	iconology
Ausweis	id
Ideal	ideal
ideallos	idealess
Idealismus	idealism
Idealist	idealist
idealistisch	idealistically
Idealität	idealness
Idealisierung	idealization
idealisieren	idealize
Idealisierer	idealizer
im Idealfall	ideally
identisch	identically
Identität	identity
identifizierbar	identifiable
Identifikation	identification
identifizieren	identify
ideologisch	ideologically
Ideologe	ideologist
Ideologie	ideology
Idiotie	idiocy
Idiom	idiom
idiomatisch	idiomatic
Idiosynkrasie	idiosyncrasy
eigenwillig	idiosyncratically
idiotisch	idiotically
Leerlauf	idle
Faulenzer	loafer
untätig	inert
Idol	idol
vergöttern	idolize
Idolismus	idolism
Vergötterung	idolization
idyllisch	idyllically
Wenn	yen
Iglu	igloo
entzünden	kindle
Zündung	ignition
ignorierbar	ignorable
wir wissen nicht	ignoramus
Ignoranz	ignorance
unwissend	unwitting
ignorieren	ignore
Leguan	iguana
illegal	illicitly
Rechtswidrigkeit	illegality
illegalisieren	illegalize
Unleserlichkeit	illegibility
unleserlich	unreadable
Unrechtmäßigkeit	illegitimacy
unrechtmäßig	unrightfully
illegitimieren	illegitimatize
Illegalität	illicitness
Analphabetentum	illiteracy
Analphabet	nonreader
Analphabeten	illiterately
Analphabetismus	illiterateness
Erkrankung	illness
unlogisch	illogically
beleuchtet	illuminated
Illuminaten	illuminati
erhellend	illuminative
Erleuchtung	illumination
Illuminator	illuminator
Illusion	illusion
illusionär	illusionary
Illusionist	illusionist
illusorisch	illusory
Illusivität	illusiveness
bebilderbar	illustratable
Illustration	illustration
illustrativ	illustrative
anschaulich	illustratively
Illustrator	illustrator
illustriert	illustriously
Bild	picture
Bildbarkeit	imageability
bildlos	imageless
Bilder	pictures
vorstellbar	imaginably
imaginär	imaginary
Vorstellung	notion
phantasievoll	imaginatively
Einfallsreichtum	resourcefulness
stellt sich vor	imagines
Bildgebung	imaging
Ungleichgewicht	unbalancing
imitieren	impersonate
Nachahmung	knockoff
nachahmend	imitatively
Imitator	imitator
unbefleckt	untainted
immanent	immanent
immateriell	intangibly
Immaterialismus	immaterialism
Immaterialität	immateriality
immaterialisieren	immaterialize
unreif	unripe
Unreife	immaturity
Unermesslichkeit	immensity
unermesslich	immeasurably
Unmittelbarkeit	instantaneousness
sofort	straightaway
immens	immensely
Eintauchen	immersion
Immersiv	immersive
Immigrant	immigrant
einwandern	immigrate
Einwanderung	immigration
unmittelbar bevorstehen	imminence
unmittelbar bevorsteht	imminent
unmittelbar bevor	imminently
unbeweglich	unmoving
Unbeweglichkeit	immovableness
immobilisieren	immobilize
Wegfahrsperre	immobilizer
maßlos	measureless
Unmäßigkeit	immoderation
unbescheiden	immodestly
unmoralisch	unmorally
Unmoral	immorality
immun	immune
Immunität	immunity
Immunisierung	immunization
immunisieren	immunize
immunologisch	immunological
Immunologe	immunologist
Immunologie	immunology
immunsuppressiv	immunosuppressive
Immuntherapie	immunotherapy
beeinflusst	impacted
wirkungsvoll	impactful
beeinträchtigen	impair
beeinträchtigte	impaired
Beeinträchtiger	impairer
Beeinträchtigung	impairment
Aufspießen	impalement
Unfühlbarkeit	impalpability
unmerklich	unseeingly
Unparteilichkeit	impartibility
unpassierbar	impassably
Unwegsamkeit	impassibility
teilnahmslos	impassive
Leidenschaft	impassion
Gleichgültigkeit	indifference
Ungeduld	impatience
ungeduldig	impatiently
Amtsenthebung	impeachability
Amtsenthebungsbeamter	impeacher
Amtsenthebungsverfahren	impeachment
Impedanz	impedance
hinderlich	obstructively
bevorsteht	impending
Undurchdringlichkeit	impenetrability
undurchdringlich	imperviously
Imperativ	imperative
Unmerklichkeit	imperceptibility
Unaufmerksamkeit	inattentiveness
Unvollkommenheit	imperfectness
unvollkommen	imperfectly
Imperialismus	imperialism
imperialistisch	imperialistically
kaiserlich	imperially
Herrschsucht	imperiousness
unvergänglich	unfading
Unvergänglichkeit	imperishableness
Unbeständigkeit	impermanence
Undurchlässigkeit	impermeability
undurchlässig	impervious
unpersönlich	impersonally
unpersönlich machen	impersonalize
Identitätswechsel	impersonation
Unverschämtheit	outrageousness
ungestüm	impetuous
Ungestüm	impetuousness
schelmisch	impish
Unerbittlichkeit	relentlessness
implantieren	implant
implantierbar	implantable
Implantation	implantation
Unplausibilität	implausibility
unglaubwürdig	implausible
unplausibel	implausibly
implementieren	implement
Implementierung	implementation
Umsetzer	implementer
implizieren	implicate
Implikation	implication
implizit	implicitly
Implizitheit	implicitness
implodieren	implode
Bitte	please
flehen	plead
Implosion	implosion
implosiv	implosively
unwägbar	imponderable
Importierbarkeit	importability
Bedeutung	signification
wichtig	importantly
Einfuhr	importation
Importeur	importer
auferlegen	imposer
imposant	imposing
Stattlichkeit	imposingness
Verhängung	imposition
Unmöglichkeit	inopportunity
unmöglich	impossibly
Hochstapler	impostor
Impotenz	impotency
impotent	impotent
verarmen	impoverish
verarmt	impoverished
Verarmung	impoverishment
Undurchführbarkeit	unfeasibility
unpraktisch	unpractical
Unbrauchbarkeit	impracticality
Unpraktikabilität	impracticalness
ungenau	unexacting
Ungenauigkeit	inexactness
uneinnehmbar	impregnable
imprägnieren	impregnate
Imprägnierung	impregnation
Imprägniermittel	impregnator
beeindrucken	impress
Beeindruckbarkeit	impressibility
Eindruck	impression
Beeinflussbarkeit	impressionableness
beeinflussbar	suggestible
eindrucksvoll	impressively
Impressionismus	impressionism
